sampleID,group
YC1904NP53,nAMS1k
YC1904NP70,nAMS1k
YC1904NP11,nAMS1k
YC1904NP12,nAMS1k
YC1904NP23,nAMS1k
YC1904NP21,nAMS1k
YC1904NP20,nAMS1k
YC1904NP19,nAMS1k
YC1904NP22,nAMS1k
YC1904NP56,nAMS1k
YC1904NP10,nAMS1k
YC1904NP08,nAMS1k
YC1904NP09,nAMS1k
YC1904NP13,nAMS1k
YC1904NP15,nAMS1k
YC1904NP50,nAMS1k
YC1904NP66,nAMS1k
YC1904NP52,nAMS1k
YC1904NP16,nAMS1k
YC1904NP18,nAMS1k
YC1904NP14,AMS1k
YC1904NP28,AMS1k
YC1904NP32,AMS1k
YC1904NP44,AMS1k
YC1904NP63,AMS1k
YC1904NP30,AMS1k
YC1904NP36,AMS1k
YC1904NP41,AMS1k
YC1904NP64,AMS1k
YC1904NP48,AMS1k
YC1904NP46,AMS1k
YC1904NP62,AMS1k
YC1904NP26,nAMS1k
YC1904NP39,nAMS1k
YC1904NP38,nAMS1k
YC1904NP47,AMS1k
YC1904NP17,AMS1k
YC1904NP51,AMS1k
YC1904NP02,AMS1k
YC1904NP49,AMS1k
YC1904NP31,AMS1k
YC1904NP54,AMS1k
YC1904NP55,AMS1k
YC1904NP57,AMS1k
YC1904NP35,AMS1k
YC1904NP33,AMS1k
YC1904NP58,AMS1k
YC1904NP61,AMS1k
YC1904NP69,AMS1k
YC1904NP73,AMS1k
YC1904NP75,AMS1k
YC1904NP76,AMS1k
YC1904NP45,AMS1k
AL1904P53,nAMS4k
AL1904P70,nAMS4k
AL1904P11,nAMS4k
AL1904P12,nAMS4k
AL1904P23,nAMS4k
AL1904P21,nAMS4k
AL1904P20,nAMS4k
AL1904P19,nAMS4k
AL1904P22,nAMS4k
AL1904P56,nAMS4k
AL1904P10,nAMS4k
AL1904P08,nAMS4k
AL1904P09,nAMS4k
AL1904P13,nAMS4k
AL1904P15,nAMS4k
AL1904P50,nAMS4k
AL1904P66,nAMS4k
AL1904P52,nAMS4k
AL1904P16,nAMS4k
AL1904P18,nAMS4k
AL1904P14,AMS4k
AL1904P28,AMS4k
AL1904P32,AMS4k
AL1904P44,AMS4k
AL1904P63,AMS4k
AL1904P30,AMS4k
AL1904P36,AMS4k
AL1904P41,AMS4k
AL1904P64,AMS4k
AL1904P48,AMS4k
AL1904P46,AMS4k
AL1904P62,AMS4k
AL1904P26,nAMS4k
AL1904P39,nAMS4k
AL1904P38,nAMS4k
AL1904P47,AMS4k
AL1904P17,AMS4k
AL1904P51,AMS4k
AL1904P02,AMS4k
AL1904P49,AMS4k
AL1904P31,AMS4k
AL1904P54,AMS4k
AL1904P55,AMS4k
AL1904P57,AMS4k
AL1904P35,AMS4k
AL1904P33,AMS4k
AL1904P58,AMS4k
AL1904P61,AMS4k
AL1904P69,AMS4k
AL1904P73,AMS4k
AL1904P75,AMS4k
AL1904P76,AMS4k
AL1904P45,AMS4k
